Objeto;Classe;n_contorno;Área;Diâmetro;Minor;Imagem
;;0;9,50;2,828427124746190;0,000000000000000;0035.png
;;1;8,00;9,165151389911680;0,000000000000000;0035.png
;;2;8,00;3,265986323710904;2,000000000000000;0035.png
;;0;26,50;2,000000000000000;0,000000000000000;0036.png
;;1;18,50;2,000000000000000;0,000000000000000;0036.png
;;2;7,00;7,161162398353258;4,122976138996369;0036.png
;;0;49,00;4,976979969245306;1,797128372078910;0037.png
;;1;12,00;8,444589943073952;4,473115022672366;0037.png
;;2;11,50;3,265986323710904;0,000000000000000;0037.png
;;0;8991,50;7,554371880072024;1,975317619716008;0038.png
;;1;91,00;3,265986323710904;0,000000000000000;0038.png
;;2;89,50;3,098386676965933;1,788854381999832;0038.png
;;0;69,50;16,456978082124557;1,434141308714314;0039.png
;;1;40,00;4,472135954999580;0,000000000000000;0039.png
;;2;39,00;2,000000000000000;0,000000000000000;0039.png
;;0;104,50;19,204275216921417;1,384129109851350;0040.png
;;1;96,00;2,309401076758503;1,333333333333333;0040.png
;;2;82,50;2,000000000000000;0,000000000000000;0040.png
;;0;80,50;8,000000000000000;0,000000000000000;0041.png
;;1;75,50;4,569200140512701;2,757246828983344;0041.png
;;2;72,00;3,464101615137754;1,414213562373095;0041.png
;;0;8983,00;3,265986323710904;0,000000000000000;0042.png
;;1;87,00;3,829708431025352;1,885618083164127;0042.png
;;2;85,50;0,000000000000000;0,000000000000000;0042.png
;;0;71,50;2,000000000000000;0,000000000000000;0043.png
;;1;39,50;8,000000000000000;0,000000000000000;0043.png
;;2;39,00;5,537749241945384;2,748737083745107;0043.png
;;0;76,00;2,000000000000000;0,000000000000000;0044.png
;;1;55,00;7,846866283784094;2,130211406298328;0044.png
;;2;16,00;3,771236166328253;2,309401076758503;0044.png
;;0;61,00;4,363338213437162;1,655009792399060;0045.png
;;1;41,00;3,265986323710904;2,000000000000000;0045.png
;;2;11,50;2,000000000000000;0,000000000000000;0045.png
;;0;8636,50;3,265986323710904;0,000000000000000;0046.png
;;1;71,50;5,912809357935427;0,937382257518902;0046.png
;;2;56,00;2,000000000000000;0,000000000000000;0046.png
