Classe;n_contorno;Área;Diâmetro;Minor;Diretorio;Imagem
;2;6396,5;10,238446626155255;6,606864988555379;.\originalGrayDataset;0166.png
;0;14948,0;6,381445876973021;2,527500668719029;.\originalGrayDataset;0167.png
;1;10527,0;3,885753375057407;2,795442890696132;.\originalGrayDataset;0167.png
;2;2833,0;13,252881918749903;4,700584628285275;.\originalGrayDataset;0167.png
;0;14274,5;9,141172082686714;4,401647541026239;.\originalGrayDataset;0169.png
;1;8402,5;2,0;2,0;.\originalGrayDataset;0169.png
;2;4101,5;4,155374705678736;1,905471133100374;.\originalGrayDataset;0169.png
;0;36130,0;12,244770837293595;4,463738583537821;.\originalGrayDataset;0170.png
;1;14709,5;5,613395058396714;3,207134902949092;.\originalGrayDataset;0170.png
;2;9705,5;7,405708913152501;3,314006033108686;.\originalGrayDataset;0170.png
;0;16557,0;2,309401076758503;1,333333333333333;.\originalGrayDataset;0171.png
;1;13948,5;7,145438345523728;3,726395243115726;.\originalGrayDataset;0171.png
;2;6663,0;17,66352203197482;4,529465757253281;.\originalGrayDataset;0171.png
;0;16419,0;10,883392810212332;4,558150719510859;.\originalGrayDataset;0174.png
;1;14692,0;9,060147315993184;3,950105139423695;.\originalGrayDataset;0174.png
;2;4821,5;4,634736211286691;1,826347935745029;.\originalGrayDataset;0174.png
;0;36066,5;7,688297584280337;2,229733820125251;.\originalGrayDataset;0175.png
;1;14532,5;6,745324441982768;3,580724204223337;.\originalGrayDataset;0175.png
;2;4723,0;14,5678847420952;4,080696068248367;.\originalGrayDataset;0175.png
;0;15114,5;2,309401076758503;1,333333333333333;.\originalGrayDataset;0176.png
;1;2980,0;5,133805351608395;1,542315301534689;.\originalGrayDataset;0176.png
;2;772,5;17,314736405308384;3,240355414871717;.\originalGrayDataset;0176.png
;0;36283,5;7,815531007312314;2,400399866310656;.\originalGrayDataset;0177.png
;1;14825,5;4,155374705678736;1,905471133100374;.\originalGrayDataset;0177.png
;2;1782,0;8,721840015615031;2,447800842437677;.\originalGrayDataset;0177.png
;0;16270,5;7,186797343963628;3,842286698997513;.\originalGrayDataset;0179.png
;1;5830,5;5,311578320742263;2,04504216851777;.\originalGrayDataset;0179.png
;2;4445,5;9,441999687597615;3,361999687597615;.\originalGrayDataset;0179.png
;0;16540,0;11,97003903041306;3,596792405795475;.\originalGrayDataset;0181.png
;1;8090,5;11,532364460444374;9,443680631667116;.\originalGrayDataset;0181.png
;2;5046,0;2,309401076758503;1,333333333333333;.\originalGrayDataset;0181.png
;0;9479,5;9,4933922595857;4,236332060025284;.\originalGrayDataset;0188.png
;1;4100,0;3,464101615137754;1,414213562373095;.\originalGrayDataset;0188.png
;2;2726,0;3,464101615137754;2,738612787525831;.\originalGrayDataset;0188.png
